n,time_seconds,ops_count,note
1,1.5997793525457382e-06,0,
10,1.400010660290718e-06,9,
100,2.8799986466765404e-05,825,
1000,0.003399300156161189,83250,
10000,0.3576879999600351,8332500,
100000,,,Demasiado costoso (O(n^2)).
1000000,,,Demasiado costoso (O(n^2)).
